[info] epoch 1 | train takes 16.7 min | test takes 0.6 min
[info] epoch 2 | train takes 16.7 min | test takes 0.6 min
[info] epoch 3 | train takes 16.7 min | test takes 0.6 min
[info] epoch 4 | train takes 16.7 min | test takes 0.6 min
[info] epoch 5 | train takes 16.7 min | test takes 0.6 min
[info] epoch 6 | train takes 16.7 min | test takes 0.6 min
[info] epoch 7 | train takes 16.7 min | test takes 0.5 min
[info] epoch 8 | train takes 16.7 min | test takes 0.6 min
[info] epoch 9 | train takes 16.7 min | test takes 0.5 min
[info] epoch 10 | train takes 16.7 min | test takes 0.5 min
[info] epoch 11 | train takes 16.7 min | test takes 0.5 min
[info] epoch 12 | train takes 16.7 min | test takes 0.5 min
[info] epoch 13 | train takes 16.7 min | test takes 0.5 min
[info] epoch 14 | train takes 16.7 min | test takes 0.5 min
[info] epoch 15 | train takes 16.8 min | test takes 0.5 min
