[info] epoch 1 | train takes 2.4 min | test takes 0.6 min | time: 2025-01-18 21:22:21
[info] epoch 2 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:25:09
[info] epoch 3 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:27:56
[info] epoch 4 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:30:44
[info] epoch 5 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:33:31
[info] epoch 6 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:36:18
[info] epoch 7 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:39:07
[info] epoch 8 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:41:54
[info] epoch 9 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:44:42
[info] epoch 10 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:47:30
[info] epoch 11 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:50:19
[info] epoch 12 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:53:08
[info] epoch 13 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:55:56
[info] epoch 14 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 21:58:43
[info] epoch 15 | train takes 2.2 min | test takes 0.6 min | time: 2025-01-18 22:01:30
