/home/zz/anaconda3/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. The given 'InMemoryDataset' only references a subset of examples of the full dataset, but 'data' will contain information of the full dataset. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)

  0%|          | 0/300 [00:00<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.165 | val loss: 749.982 | test loss: 752.439 | best test loss 752.439 | best_test_delta 2875.539:   0%|          | 0/300 [02:48<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.165 | val loss: 749.982 | test loss: 752.439 | best test loss 752.439 | best_test_delta 2875.539:   0%|          | 1/300 [02:48<14:00:49, 168.73s/it]
epoch 1 | lr=0.001 | train loss 0.140 | val loss: 363.870 | test loss: 364.077 | best test loss 364.077 | best_test_delta 1390.583:   0%|          | 1/300 [05:08<14:00:49, 168.73s/it]
epoch 1 | lr=0.001 | train loss 0.140 | val loss: 363.870 | test loss: 364.077 | best test loss 364.077 | best_test_delta 1390.583:   1%|          | 2/300 [05:08<12:32:58, 151.61s/it]
epoch 2 | lr=0.001 | train loss 0.115 | val loss: 557.284 | test loss: 556.343 | best test loss 364.077 | best_test_delta 1390.583:   1%|          | 2/300 [07:35<12:32:58, 151.61s/it]
epoch 2 | lr=0.001 | train loss 0.115 | val loss: 557.284 | test loss: 556.343 | best test loss 364.077 | best_test_delta 1390.583:   1%|          | 3/300 [07:35<12:21:18, 149.76s/it]
epoch 3 | lr=0.001 | train loss 0.075 | val loss: 358.022 | test loss: 360.034 | best test loss 360.034 | best_test_delta 1135.569:   1%|          | 3/300 [09:55<12:21:18, 149.76s/it]
epoch 3 | lr=0.001 | train loss 0.075 | val loss: 358.022 | test loss: 360.034 | best test loss 360.034 | best_test_delta 1135.569:   1%|▏         | 4/300 [09:55<11:59:04, 145.76s/it]
epoch 4 | lr=0.001 | train loss 0.114 | val loss: 377.591 | test loss: 380.093 | best test loss 380.093 | best_test_delta 1115.937:   1%|▏         | 4/300 [12:13<11:59:04, 145.76s/it]
epoch 4 | lr=0.001 | train loss 0.114 | val loss: 377.591 | test loss: 380.093 | best test loss 380.093 | best_test_delta 1115.937:   2%|▏         | 5/300 [12:13<11:43:25, 143.07s/it]
epoch 5 | lr=0.001 | train loss 0.066 | val loss: 239.951 | test loss: 238.878 | best test loss 238.878 | best_test_delta 799.778:   2%|▏         | 5/300 [14:31<11:43:25, 143.07s/it] 
epoch 5 | lr=0.001 | train loss 0.066 | val loss: 239.951 | test loss: 238.878 | best test loss 238.878 | best_test_delta 799.778:   2%|▏         | 6/300 [14:31<11:32:36, 141.35s/it]
epoch 6 | lr=0.001 | train loss 0.074 | val loss: 302.578 | test loss: 303.276 | best test loss 238.878 | best_test_delta 799.778:   2%|▏         | 6/300 [16:54<11:32:36, 141.35s/it]
epoch 6 | lr=0.001 | train loss 0.074 | val loss: 302.578 | test loss: 303.276 | best test loss 238.878 | best_test_delta 799.778:   2%|▏         | 7/300 [16:55<11:33:16, 141.97s/it]
epoch 7 | lr=0.001 | train loss 0.062 | val loss: 229.301 | test loss: 231.016 | best test loss 231.016 | best_test_delta 733.166:   2%|▏         | 7/300 [19:15<11:33:16, 141.97s/it]
epoch 7 | lr=0.001 | train loss 0.062 | val loss: 229.301 | test loss: 231.016 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 8/300 [19:16<11:29:16, 141.63s/it]
epoch 8 | lr=0.001 | train loss 0.068 | val loss: 810.449 | test loss: 811.511 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 8/300 [21:35<11:29:16, 141.63s/it]
epoch 8 | lr=0.001 | train loss 0.068 | val loss: 810.449 | test loss: 811.511 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 9/300 [21:35<11:23:42, 140.97s/it]
epoch 9 | lr=0.001 | train loss 0.051 | val loss: 314.269 | test loss: 313.524 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 9/300 [23:54<11:23:42, 140.97s/it]
epoch 9 | lr=0.001 | train loss 0.051 | val loss: 314.269 | test loss: 313.524 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 10/300 [23:54<11:18:09, 140.31s/it]
epoch 10 | lr=0.001 | train loss 0.047 | val loss: 261.946 | test loss: 266.519 | best test loss 231.016 | best_test_delta 733.166:   3%|▎         | 10/300 [26:13<11:18:09, 140.31s/it]
epoch 10 | lr=0.001 | train loss 0.047 | val loss: 261.946 | test loss: 266.519 | best test loss 231.016 | best_test_delta 733.166:   4%|▎         | 11/300 [26:13<11:14:06, 139.95s/it]
epoch 11 | lr=0.001 | train loss 0.049 | val loss: 171.175 | test loss: 174.287 | best test loss 174.287 | best_test_delta 579.266:   4%|▎         | 11/300 [28:31<11:14:06, 139.95s/it]
epoch 11 | lr=0.001 | train loss 0.049 | val loss: 171.175 | test loss: 174.287 | best test loss 174.287 | best_test_delta 579.266:   4%|▍         | 12/300 [28:32<11:10:30, 139.69s/it]
epoch 12 | lr=0.001 | train loss 0.052 | val loss: 168.464 | test loss: 171.915 | best test loss 174.287 | best_test_delta 579.266:   4%|▍         | 12/300 [30:50<11:10:30, 139.69s/it]
epoch 12 | lr=0.001 | train loss 0.052 | val loss: 168.464 | test loss: 171.915 | best test loss 174.287 | best_test_delta 579.266:   4%|▍         | 13/300 [30:51<11:06:50, 139.41s/it]
epoch 13 | lr=0.001 | train loss 0.052 | val loss: 191.005 | test loss: 191.223 | best test loss 174.287 | best_test_delta 579.266:   4%|▍         | 13/300 [33:09<11:06:50, 139.41s/it]
epoch 13 | lr=0.001 | train loss 0.052 | val loss: 191.005 | test loss: 191.223 | best test loss 174.287 | best_test_delta 579.266:   5%|▍         | 14/300 [33:09<11:03:23, 139.17s/it]
epoch 14 | lr=0.001 | train loss 0.032 | val loss: 163.562 | test loss: 164.846 | best test loss 164.846 | best_test_delta 503.382:   5%|▍         | 14/300 [35:28<11:03:23, 139.17s/it]
epoch 14 | lr=0.001 | train loss 0.032 | val loss: 163.562 | test loss: 164.846 | best test loss 164.846 | best_test_delta 503.382:   5%|▌         | 15/300 [35:29<11:00:55, 139.14s/it]
epoch 15 | lr=0.001 | train loss 0.038 | val loss: 150.602 | test loss: 152.744 | best test loss 152.744 | best_test_delta 500.939:   5%|▌         | 15/300 [37:48<11:00:55, 139.14s/it]
epoch 15 | lr=0.001 | train loss 0.038 | val loss: 150.602 | test loss: 152.744 | best test loss 152.744 | best_test_delta 500.939:   5%|▌         | 16/300 [37:49<10:59:47, 139.39s/it]
epoch 16 | lr=0.001 | train loss 0.034 | val loss: 154.436 | test loss: 154.538 | best test loss 152.744 | best_test_delta 500.939:   5%|▌         | 16/300 [40:07<10:59:47, 139.39s/it]
