/home/zz/anaconda3/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. The given 'InMemoryDataset' only references a subset of examples of the full dataset, but 'data' will contain information of the full dataset. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)

  0%|          | 0/300 [00:00<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.223 | val loss: 677.694 | test loss: 672.457 | best test loss 672.457 | best_test_delta 2140.878:   0%|          | 0/300 [03:04<?, ?it/s]
epoch 0 | lr=0.001 | train loss 0.223 | val loss: 677.694 | test loss: 672.457 | best test loss 672.457 | best_test_delta 2140.878:   0%|          | 1/300 [03:04<15:18:15, 184.26s/it]
epoch 1 | lr=0.001 | train loss 0.203 | val loss: 640.564 | test loss: 646.840 | best test loss 672.457 | best_test_delta 2140.878:   0%|          | 1/300 [05:36<15:18:15, 184.26s/it]
epoch 1 | lr=0.001 | train loss 0.203 | val loss: 640.564 | test loss: 646.840 | best test loss 672.457 | best_test_delta 2140.878:   1%|          | 2/300 [05:36<13:42:48, 165.67s/it]
epoch 2 | lr=0.001 | train loss 0.130 | val loss: 483.334 | test loss: 480.503 | best test loss 480.503 | best_test_delta 1590.488:   1%|          | 2/300 [08:09<13:42:48, 165.67s/it]
epoch 2 | lr=0.001 | train loss 0.130 | val loss: 483.334 | test loss: 480.503 | best test loss 480.503 | best_test_delta 1590.488:   1%|          | 3/300 [08:09<13:10:31, 159.70s/it]
epoch 3 | lr=0.001 | train loss 0.143 | val loss: 321.802 | test loss: 320.505 | best test loss 320.505 | best_test_delta 1368.338:   1%|          | 3/300 [10:42<13:10:31, 159.70s/it]
epoch 3 | lr=0.001 | train loss 0.143 | val loss: 321.802 | test loss: 320.505 | best test loss 320.505 | best_test_delta 1368.338:   1%|▏         | 4/300 [10:42<12:54:29, 156.99s/it]
epoch 4 | lr=0.001 | train loss 0.138 | val loss: 268.871 | test loss: 267.339 | best test loss 267.339 | best_test_delta 1057.194:   1%|▏         | 4/300 [13:14<12:54:29, 156.99s/it]
epoch 4 | lr=0.001 | train loss 0.138 | val loss: 268.871 | test loss: 267.339 | best test loss 267.339 | best_test_delta 1057.194:   2%|▏         | 5/300 [13:14<12:43:17, 155.25s/it]
epoch 5 | lr=0.001 | train loss 0.122 | val loss: 310.221 | test loss: 306.727 | best test loss 306.727 | best_test_delta 997.068:   2%|▏         | 5/300 [15:46<12:43:17, 155.25s/it] 
epoch 5 | lr=0.001 | train loss 0.122 | val loss: 310.221 | test loss: 306.727 | best test loss 306.727 | best_test_delta 997.068:   2%|▏         | 6/300 [15:46<12:35:04, 154.10s/it]
epoch 6 | lr=0.001 | train loss 0.103 | val loss: 235.268 | test loss: 237.818 | best test loss 306.727 | best_test_delta 997.068:   2%|▏         | 6/300 [18:18<12:35:04, 154.10s/it]
epoch 6 | lr=0.001 | train loss 0.103 | val loss: 235.268 | test loss: 237.818 | best test loss 306.727 | best_test_delta 997.068:   2%|▏         | 7/300 [18:18<12:29:23, 153.46s/it]
epoch 7 | lr=0.001 | train loss 0.079 | val loss: 248.056 | test loss: 249.934 | best test loss 306.727 | best_test_delta 997.068:   2%|▏         | 7/300 [20:50<12:29:23, 153.46s/it]
epoch 7 | lr=0.001 | train loss 0.079 | val loss: 248.056 | test loss: 249.934 | best test loss 306.727 | best_test_delta 997.068:   3%|▎         | 8/300 [20:51<12:25:40, 153.22s/it]
epoch 8 | lr=0.001 | train loss 0.052 | val loss: 212.225 | test loss: 211.957 | best test loss 211.957 | best_test_delta 745.658:   3%|▎         | 8/300 [23:23<12:25:40, 153.22s/it]
epoch 8 | lr=0.001 | train loss 0.052 | val loss: 212.225 | test loss: 211.957 | best test loss 211.957 | best_test_delta 745.658:   3%|▎         | 9/300 [23:24<12:22:29, 153.09s/it]
epoch 9 | lr=0.001 | train loss 0.107 | val loss: 197.268 | test loss: 195.002 | best test loss 195.002 | best_test_delta 715.020:   3%|▎         | 9/300 [25:56<12:22:29, 153.09s/it]
epoch 9 | lr=0.001 | train loss 0.107 | val loss: 197.268 | test loss: 195.002 | best test loss 195.002 | best_test_delta 715.020:   3%|▎         | 10/300 [25:56<12:19:27, 152.99s/it]
epoch 10 | lr=0.001 | train loss 0.051 | val loss: 185.083 | test loss: 185.559 | best test loss 185.559 | best_test_delta 657.788:   3%|▎         | 10/300 [28:28<12:19:27, 152.99s/it]
epoch 10 | lr=0.001 | train loss 0.051 | val loss: 185.083 | test loss: 185.559 | best test loss 185.559 | best_test_delta 657.788:   4%|▎         | 11/300 [28:28<12:15:26, 152.69s/it]
epoch 11 | lr=0.001 | train loss 0.054 | val loss: 174.410 | test loss: 171.458 | best test loss 185.559 | best_test_delta 657.788:   4%|▎         | 11/300 [31:01<12:15:26, 152.69s/it]
epoch 11 | lr=0.001 | train loss 0.054 | val loss: 174.410 | test loss: 171.458 | best test loss 185.559 | best_test_delta 657.788:   4%|▍         | 12/300 [31:01<12:13:17, 152.77s/it]
epoch 12 | lr=0.001 | train loss 0.113 | val loss: 269.808 | test loss: 271.805 | best test loss 185.559 | best_test_delta 657.788:   4%|▍         | 12/300 [33:33<12:13:17, 152.77s/it]
epoch 12 | lr=0.001 | train loss 0.113 | val loss: 269.808 | test loss: 271.805 | best test loss 185.559 | best_test_delta 657.788:   4%|▍         | 13/300 [33:33<12:09:57, 152.60s/it]
epoch 13 | lr=0.001 | train loss 0.051 | val loss: 187.190 | test loss: 184.387 | best test loss 184.387 | best_test_delta 650.352:   4%|▍         | 13/300 [36:06<12:09:57, 152.60s/it]
epoch 13 | lr=0.001 | train loss 0.051 | val loss: 187.190 | test loss: 184.387 | best test loss 184.387 | best_test_delta 650.352:   5%|▍         | 14/300 [36:06<12:07:36, 152.64s/it]
epoch 14 | lr=0.001 | train loss 0.048 | val loss: 180.351 | test loss: 179.887 | best test loss 184.387 | best_test_delta 650.352:   5%|▍         | 14/300 [38:38<12:07:36, 152.64s/it]
epoch 14 | lr=0.001 | train loss 0.048 | val loss: 180.351 | test loss: 179.887 | best test loss 184.387 | best_test_delta 650.352:   5%|▌         | 15/300 [38:40<12:06:16, 152.90s/it]
epoch 15 | lr=0.001 | train loss 0.044 | val loss: 141.537 | test loss: 138.838 | best test loss 138.838 | best_test_delta 450.917:   5%|▌         | 15/300 [41:12<12:06:16, 152.90s/it]
epoch 15 | lr=0.001 | train loss 0.044 | val loss: 141.537 | test loss: 138.838 | best test loss 138.838 | best_test_delta 450.917:   5%|▌         | 16/300 [41:12<12:03:20, 152.82s/it]
epoch 16 | lr=0.001 | train loss 0.117 | val loss: 522.447 | test loss: 516.257 | best test loss 138.838 | best_test_delta 450.917:   5%|▌         | 16/300 [43:45<12:03:20, 152.82s/it]
epoch 16 | lr=0.001 | train loss 0.117 | val loss: 522.447 | test loss: 516.257 | best test loss 138.838 | best_test_delta 450.917:   6%|▌         | 17/300 [43:46<12:01:25, 152.95s/it]
epoch 17 | lr=0.001 | train loss 0.029 | val loss: 136.242 | test loss: 136.441 | best test loss 138.838 | best_test_delta 450.917:   6%|▌         | 17/300 [46:18<12:01:25, 152.95s/it]
epoch 17 | lr=0.001 | train loss 0.029 | val loss: 136.242 | test loss: 136.441 | best test loss 138.838 | best_test_delta 450.917:   6%|▌         | 18/300 [46:19<12:00:03, 153.20s/it]
epoch 18 | lr=0.001 | train loss 0.035 | val loss: 127.118 | test loss: 125.719 | best test loss 138.838 | best_test_delta 450.917:   6%|▌         | 18/300 [48:52<12:00:03, 153.20s/it]
epoch 18 | lr=0.001 | train loss 0.035 | val loss: 127.118 | test loss: 125.719 | best test loss 138.838 | best_test_delta 450.917:   6%|▋         | 19/300 [48:52<11:57:07, 153.12s/it]
epoch 19 | lr=0.001 | train loss 0.032 | val loss: 120.380 | test loss: 117.717 | best test loss 138.838 | best_test_delta 450.917:   6%|▋         | 19/300 [51:25<11:57:07, 153.12s/it]
epoch 19 | lr=0.001 | train loss 0.032 | val loss: 120.380 | test loss: 117.717 | best test loss 138.838 | best_test_delta 450.917:   7%|▋         | 20/300 [51:25<11:54:34, 153.12s/it]
epoch 20 | lr=0.001 | train loss 0.039 | val loss: 199.899 | test loss: 196.325 | best test loss 138.838 | best_test_delta 450.917:   7%|▋         | 20/300 [53:58<11:54:34, 153.12s/it]
epoch 20 | lr=0.001 | train loss 0.039 | val loss: 199.899 | test loss: 196.325 | best test loss 138.838 | best_test_delta 450.917:   7%|▋         | 21/300 [53:59<11:52:46, 153.29s/it]
epoch 21 | lr=0.001 | train loss 0.032 | val loss: 361.254 | test loss: 360.230 | best test loss 138.838 | best_test_delta 450.917:   7%|▋         | 21/300 [56:32<11:52:46, 153.29s/it]
epoch 21 | lr=0.001 | train loss 0.032 | val loss: 361.254 | test loss: 360.230 | best test loss 138.838 | best_test_delta 450.917:   7%|▋         | 22/300 [56:33<11:50:50, 153.42s/it]
epoch 22 | lr=0.0007 | train loss 0.028 | val loss: 109.354 | test loss: 107.635 | best test loss 107.635 | best_test_delta 394.722:   7%|▋         | 22/300 [59:04<11:50:50, 153.42s/it]
epoch 22 | lr=0.0007 | train loss 0.028 | val loss: 109.354 | test loss: 107.635 | best test loss 107.635 | best_test_delta 394.722:   8%|▊         | 23/300 [59:06<11:47:56, 153.34s/it]
epoch 23 | lr=0.0007 | train loss 0.028 | val loss: 115.320 | test loss: 113.234 | best test loss 107.635 | best_test_delta 394.722:   8%|▊         | 23/300 [1:01:38<11:47:56, 153.34s/it]
epoch 23 | lr=0.0007 | train loss 0.028 | val loss: 115.320 | test loss: 113.234 | best test loss 107.635 | best_test_delta 394.722:   8%|▊         | 24/300 [1:01:38<11:44:10, 153.08s/it]
epoch 24 | lr=0.0007 | train loss 0.025 | val loss: 137.914 | test loss: 136.027 | best test loss 107.635 | best_test_delta 394.722:   8%|▊         | 24/300 [1:04:10<11:44:10, 153.08s/it]
epoch 24 | lr=0.0007 | train loss 0.025 | val loss: 137.914 | test loss: 136.027 | best test loss 107.635 | best_test_delta 394.722:   8%|▊         | 25/300 [1:04:11<11:41:14, 153.00s/it]
epoch 25 | lr=0.0007 | train loss 0.026 | val loss: 110.244 | test loss: 108.286 | best test loss 108.286 | best_test_delta 394.126:   8%|▊         | 25/300 [1:06:44<11:41:14, 153.00s/it]
epoch 25 | lr=0.0007 | train loss 0.026 | val loss: 110.244 | test loss: 108.286 | best test loss 108.286 | best_test_delta 394.126:   9%|▊         | 26/300 [1:06:45<11:39:39, 153.21s/it]
epoch 26 | lr=0.0007 | train loss 0.035 | val loss: 112.854 | test loss: 111.724 | best test loss 111.724 | best_test_delta 360.017:   9%|▊         | 26/300 [1:09:17<11:39:39, 153.21s/it]
epoch 26 | lr=0.0007 | train loss 0.035 | val loss: 112.854 | test loss: 111.724 | best test loss 111.724 | best_test_delta 360.017:   9%|▉         | 27/300 [1:09:18<11:37:00, 153.19s/it]
epoch 27 | lr=0.0007 | train loss 0.022 | val loss: 137.059 | test loss: 135.947 | best test loss 111.724 | best_test_delta 360.017:   9%|▉         | 27/300 [1:11:50<11:37:00, 153.19s/it]
epoch 27 | lr=0.0007 | train loss 0.022 | val loss: 137.059 | test loss: 135.947 | best test loss 111.724 | best_test_delta 360.017:   9%|▉         | 28/300 [1:11:52<11:35:03, 153.32s/it]
epoch 28 | lr=0.0007 | train loss 0.020 | val loss: 119.260 | test loss: 118.292 | best test loss 111.724 | best_test_delta 360.017:   9%|▉         | 28/300 [1:14:25<11:35:03, 153.32s/it]
epoch 28 | lr=0.0007 | train loss 0.020 | val loss: 119.260 | test loss: 118.292 | best test loss 111.724 | best_test_delta 360.017:  10%|▉         | 29/300 [1:14:26<11:33:15, 153.49s/it]
epoch 29 | lr=0.0007 | train loss 0.030 | val loss: 105.211 | test loss: 104.835 | best test loss 104.835 | best_test_delta 347.142:  10%|▉         | 29/300 [1:16:58<11:33:15, 153.49s/it]
epoch 29 | lr=0.0007 | train loss 0.030 | val loss: 105.211 | test loss: 104.835 | best test loss 104.835 | best_test_delta 347.142:  10%|█         | 30/300 [1:17:00<11:32:05, 153.80s/it]
epoch 30 | lr=0.0007 | train loss 0.024 | val loss: 118.954 | test loss: 118.894 | best test loss 104.835 | best_test_delta 347.142:  10%|█         | 30/300 [1:19:33<11:32:05, 153.80s/it]
epoch 30 | lr=0.0007 | train loss 0.024 | val loss: 118.954 | test loss: 118.894 | best test loss 104.835 | best_test_delta 347.142:  10%|█         | 31/300 [1:19:34<11:29:03, 153.69s/it]
epoch 31 | lr=0.0007 | train loss 0.020 | val loss: 113.929 | test loss: 111.844 | best test loss 104.835 | best_test_delta 347.142:  10%|█         | 31/300 [1:22:06<11:29:03, 153.69s/it]
epoch 31 | lr=0.0007 | train loss 0.020 | val loss: 113.929 | test loss: 111.844 | best test loss 104.835 | best_test_delta 347.142:  11%|█         | 32/300 [1:22:07<11:26:38, 153.73s/it]
epoch 32 | lr=0.0007 | train loss 0.017 | val loss: 109.008 | test loss: 108.633 | best test loss 108.633 | best_test_delta 326.811:  11%|█         | 32/300 [1:24:40<11:26:38, 153.73s/it]
epoch 32 | lr=0.0007 | train loss 0.017 | val loss: 109.008 | test loss: 108.633 | best test loss 108.633 | best_test_delta 326.811:  11%|█         | 33/300 [1:24:41<11:24:06, 153.73s/it]
epoch 33 | lr=0.0007 | train loss 0.022 | val loss: 115.407 | test loss: 114.826 | best test loss 108.633 | best_test_delta 326.811:  11%|█         | 33/300 [1:27:13<11:24:06, 153.73s/it]
epoch 33 | lr=0.0007 | train loss 0.022 | val loss: 115.407 | test loss: 114.826 | best test loss 108.633 | best_test_delta 326.811:  11%|█▏        | 34/300 [1:27:15<11:21:32, 153.73s/it]
epoch 34 | lr=0.0007 | train loss 0.019 | val loss: 111.704 | test loss: 110.919 | best test loss 108.633 | best_test_delta 326.811:  11%|█▏        | 34/300 [1:29:47<11:21:32, 153.73s/it]
epoch 34 | lr=0.0007 | train loss 0.019 | val loss: 111.704 | test loss: 110.919 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 35/300 [1:29:48<11:18:10, 153.55s/it]
epoch 35 | lr=0.0007 | train loss 0.019 | val loss: 112.354 | test loss: 110.622 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 35/300 [1:32:20<11:18:10, 153.55s/it]
epoch 35 | lr=0.0007 | train loss 0.019 | val loss: 112.354 | test loss: 110.622 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 36/300 [1:32:22<11:16:01, 153.64s/it]
epoch 36 | lr=0.0007 | train loss 0.025 | val loss: 124.491 | test loss: 123.615 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 36/300 [1:34:54<11:16:01, 153.64s/it]
epoch 36 | lr=0.0007 | train loss 0.025 | val loss: 124.491 | test loss: 123.615 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 37/300 [1:34:55<11:13:21, 153.62s/it]
epoch 37 | lr=0.0007 | train loss 0.025 | val loss: 98.384 | test loss: 97.339 | best test loss 108.633 | best_test_delta 326.811:  12%|█▏        | 37/300 [1:37:29<11:13:21, 153.62s/it]  
epoch 37 | lr=0.0007 | train loss 0.025 | val loss: 98.384 | test loss: 97.339 | best test loss 108.633 | best_test_delta 326.811:  13%|█▎        | 38/300 [1:37:30<11:12:05, 153.91s/it]
epoch 38 | lr=0.0007 | train loss 0.019 | val loss: 98.328 | test loss: 96.795 | best test loss 108.633 | best_test_delta 326.811:  13%|█▎        | 38/300 [1:40:03<11:12:05, 153.91s/it]
epoch 38 | lr=0.0007 | train loss 0.019 | val loss: 98.328 | test loss: 96.795 | best test loss 108.633 | best_test_delta 326.811:  13%|█▎        | 39/300 [1:40:05<11:11:01, 154.26s/it]
epoch 39 | lr=0.00049 | train loss 0.019 | val loss: 99.350 | test loss: 99.543 | best test loss 108.633 | best_test_delta 326.811:  13%|█▎        | 39/300 [1:42:38<11:11:01, 154.26s/it]
epoch 39 | lr=0.00049 | train loss 0.019 | val loss: 99.350 | test loss: 99.543 | best test loss 108.633 | best_test_delta 326.811:  13%|█▎        | 40/300 [1:42:40<11:08:48, 154.34s/it]
epoch 40 | lr=0.00049 | train loss 0.011 | val loss: 86.158 | test loss: 85.451 | best test loss 85.451 | best_test_delta 270.033:  13%|█▎        | 40/300 [1:45:12<11:08:48, 154.34s/it] 
epoch 40 | lr=0.00049 | train loss 0.011 | val loss: 86.158 | test loss: 85.451 | best test loss 85.451 | best_test_delta 270.033:  14%|█▎        | 41/300 [1:45:14<11:06:44, 154.46s/it]
